"","x"
"966","AT4G30080"
"967","AT4G30180"
"968","AT4G30410"
"969","AT4G30860"
"970","AT4G30935"
"971","AT4G30980"
"972","AT4G31000"
"973","AT4G31060"
"974","AT4G31120"
"975","AT4G31270"
"976","AT4G31420"
"977","AT4G31550"
"978","AT4G31800"
"979","AT4G31920"
"980","AT4G32010"
"981","AT4G32040"
"982","AT4G32280"
"983","AT4G32295"
"984","AT4G32730"
"985","AT4G32800"
"986","AT4G32880"
"987","AT4G32890"
"988","AT4G32980"
"989","AT4G34000"
"990","AT4G34410"
"991","AT4G34530"
"992","AT4G34590"
"993","AT4G34610"
"994","AT4G34680"
"995","AT4G34990"
"996","AT4G35040"
"997","AT4G35050"
"998","AT4G35270"
"999","AT4G35550"
"1000","AT4G35570"
"1001","AT4G35580"
"1002","AT4G35900"
"1003","AT4G36060"
"1004","AT4G36080"
"1005","AT4G36160"
"1006","AT4G36240"
"1007","AT4G36260"
"1008","AT4G36540"
"1009","AT4G36570"
"1010","AT4G36620"
"1011","AT4G36710"
"1012","AT4G36730"
"1013","AT4G36780"
"1014","AT4G36870"
"1015","AT4G36900"
"1016","AT4G36920"
"1017","AT4G36930"
"1018","AT4G37110"
"1019","AT4G37180"
"1020","AT4G37260"
"1021","AT4G37280"
"1022","AT4G37610"
"1023","AT4G37650"
"1024","AT4G37740"
"1025","AT4G37750"
"1026","AT4G37790"
"1027","AT4G38160"
"1028","AT4G38170"
"1029","AT4G38180"
"1030","AT4G38620"
"1031","AT4G38900"
"1032","AT4G38910"
"1033","AT4G38960"
"1034","AT4G39070"
"1035","AT4G39100"
"1036","AT4G39410"
"1037","AT4G39780"
"1038","AT4G40060"
"1039","AT5G01200"
"1040","AT5G01380"
"1041","AT5G01630"
"1042","AT5G02030"
"1043","AT5G02320"
"1044","AT5G02460"
"1045","AT5G02470"
"1046","AT5G02810"
"1047","AT5G02840"
"1048","AT5G02950"
"1049","AT5G03150"
"1050","AT5G03415"
"1051","AT5G03510"
"1052","AT5G03680"
"1053","AT5G03720"
"1054","AT5G04240"
"1055","AT5G04290"
"1056","AT5G04340"
"1057","AT5G04410"
"1058","AT5G04760"
"1059","AT5G04840"
"1060","AT5G05090"
"1061","AT5G05410"
"1062","AT5G05550"
"1063","AT5G05610"
"1064","AT5G05660"
"1065","AT5G05790"
"1066","AT5G06100"
"1067","AT5G06510"
"1068","AT5G06710"
"1069","AT5G06770"
"1070","AT5G06800"
"1071","AT5G06810"
"1072","AT5G06950"
"1073","AT5G06960"
"1074","AT5G06980"
"1075","AT5G07100"
"1076","AT5G07580"
"1077","AT5G07680"
"1078","AT5G07690"
"1079","AT5G07700"
"1080","AT5G07900"
"1081","AT5G08070"
"1082","AT5G08130"
"1083","AT5G08190"
"1084","AT5G08330"
"1085","AT5G08520"
"1086","AT5G08565"
"1087","AT5G08790"
"1088","AT5G09240"
"1089","AT5G09250"
"1090","AT5G09330"
"1091","AT5G09410"
"1092","AT5G09740"
"1093","AT5G10030"
"1094","AT5G10140"
"1095","AT5G10510"
"1096","AT5G10570"
"1097","AT5G10970"
"1098","AT5G11060"
"1099","AT5G11260"
"1100","AT5G11510"
"1101","AT5G11590"
"1102","AT5G12840"
"1103","AT5G12850"
"1104","AT5G12870"
"1105","AT5G13180"
"1106","AT5G13330"
"1107","AT5G13730"
"1108","AT5G13790"
"1109","AT5G14280"
"1110","AT5G14370"
"1111","AT5G14960"
"1112","AT5G15020"
"1113","AT5G15030"
"1114","AT5G15150"
"1115","AT5G15160"
"1116","AT5G15210"
"1117","AT5G15310"
"1118","AT5G15800"
"1119","AT5G15830"
"1120","AT5G15840"
"1121","AT5G15850"
"1122","AT5G16470"
"1123","AT5G16560"
"1124","AT5G16600"
"1125","AT5G16820"
"1126","AT5G17260"
"1127","AT5G17300"
"1128","AT5G17490"
"1129","AT5G18230"
"1130","AT5G18240"
"1131","AT5G18270"
"1132","AT5G18300"
"1133","AT5G18680"
"1134","AT5G18830"
"1135","AT5G18960"
"1136","AT5G19910"
"1137","AT5G20240"
"1138","AT5G20510"
"1139","AT5G20730"
"1140","AT5G20850"
"1141","AT5G21960"
"1142","AT5G22220"
"1143","AT5G22290"
"1144","AT5G22380"
"1145","AT5G22570"
"1146","AT5G23090"
"1147","AT5G23150"
"1148","AT5G23280"
"1149","AT5G23420"
"1150","AT5G23930"
"1151","AT5G24110"
"1152","AT5G24120"
"1153","AT5G24352"
"1154","AT5G24590"
"1155","AT5G24800"
"1156","AT5G25190"
"1157","AT5G25220"
"1158","AT5G25580"
"1159","AT5G25790"
"1160","AT5G25810"
"1161","AT5G25830"
"1162","AT5G25890"
"1163","AT5G26210"
"1164","AT5G26920"
"1165","AT5G27030"
"1166","AT5G27620"
"1167","AT5G27650"
"1168","AT5G28040"
"1169","AT5G28300"
"1170","AT5G28530"
"1171","AT5G28770"
"1172","AT5G29000"
"1173","AT5G35840"
"1174","AT5G37020"
"1175","AT5G37260"
"1176","AT5G38050"
"1177","AT5G38140"
"1178","AT5G38690"
"1179","AT5G38860"
"1180","AT5G39240"
"1181","AT5G39610"
"1182","AT5G39660"
"1183","AT5G39760"
"1184","AT5G39860"
"1185","AT5G40330"
"1186","AT5G40340"
"1187","AT5G41030"
"1188","AT5G41410"
"1189","AT5G41920"
"1190","AT5G42520"
"1191","AT5G42780"
"1192","AT5G43170"
"1193","AT5G43250"
"1194","AT5G43270"
"1195","AT5G43500"
"1196","AT5G43630"
"1197","AT5G43700"
"1198","AT5G43840"
"1199","AT5G44080"
"1200","AT5G44160"
"1201","AT5G44180"
"1202","AT5G44190"
"1203","AT5G44210"
"1204","AT5G44260"
"1205","AT5G45050"
"1206","AT5G45260"
"1207","AT5G45300"
"1208","AT5G45600"
"1209","AT5G45710"
"1210","AT5G46350"
"1211","AT5G46590"
"1212","AT5G46690"
"1213","AT5G46760"
"1214","AT5G46830"
"1215","AT5G46880"
"1216","AT5G46910"
"1217","AT5G47140"
"1218","AT5G47220"
"1219","AT5G47230"
"1220","AT5G47370"
"1221","AT5G47390"
