"","gcv_value","iqr_value","woo_differentially_expressed","regulator_in_GRN"
"AT2G17240",0.00872074410389548,1.96930667394247,TRUE,FALSE
"AT4G30720",0.00875376962390264,3.19241108538921,TRUE,FALSE
"AT2G31400",0.00876236308450773,2.81468235631787,FALSE,FALSE
"AT1G35670",0.00877270382862498,2.34517716766768,FALSE,FALSE
"AT4G24750",0.0087897045300316,3.46984648617576,TRUE,FALSE
"AT1G19520",0.00879558293634212,2.67963963746643,FALSE,FALSE
"AT3G62550",0.00880620705071535,2.52761057526177,FALSE,FALSE
"AT1G63800",0.00880630607905118,3.0531105383209,TRUE,FALSE
"AT1G62810",0.00882254531370756,2.4668650294974,FALSE,FALSE
"AT5G48730",0.00883110569596448,1.80579580641208,FALSE,FALSE
"AT4G14365",0.00887107052860336,2.58116661755109,TRUE,FALSE
"AT1G02170",0.00887126457173654,2.7510118935978,FALSE,FALSE
"AT5G22050",0.00887717096020084,2.37383667209962,TRUE,FALSE
"AT4G38710",0.00888990777877448,2.7074723284501,FALSE,FALSE
"AT5G55850",0.00890286057505077,2.65304587001734,TRUE,FALSE
"AT1G04440",0.00891534671393136,2.57748972778775,TRUE,FALSE
"AT5G28500",0.00892118669094321,4.26864405127637,TRUE,FALSE
"AT1G61250",0.00892229795512184,2.35668025963114,TRUE,FALSE
"AT3G46610",0.00894270860260653,2.72241551545223,FALSE,FALSE
"AT3G60960",0.00894580632729617,2.46348502189307,FALSE,FALSE
"AT2G28120",0.00894655401090334,2.53215837147974,FALSE,FALSE
"AT3G11780",0.00895876662467699,2.68260493129097,TRUE,FALSE
"AT3G59670",0.00896029747757029,3.34792657159414,FALSE,FALSE
"AT3G18190",0.00897412082130668,2.89297422416809,FALSE,FALSE
"AT5G41992",0.00897491245788893,3.06874607203136,FALSE,FALSE
"AT1G32170",0.00897570792921155,1.6933253895739,FALSE,FALSE
"AT3G61820",0.00898164961609587,2.47392770907566,TRUE,FALSE
"AT3G02760",0.00898353995457804,2.65267791092823,FALSE,FALSE
"AT5G17230",0.00900532673424273,3.64166141557728,TRUE,FALSE
"AT5G40830",0.00900630602861236,2.96948940790658,FALSE,FALSE
"AT4G04860",0.0090122276276086,2.78656680550116,FALSE,FALSE
"AT3G48760",0.00902098770041706,2.04452808041789,FALSE,FALSE
"AT4G39640",0.00902381307942107,3.07002251137226,TRUE,FALSE
"AT5G14050",0.00902648616151901,2.83598374577644,FALSE,FALSE
"AT5G05740",0.00902815725370895,2.95888459631786,TRUE,FALSE
