,gene_name,combined_name_id
AT1G03550,SCAMP4,SCAMP4 (AT1G03550)
AT1G03560,AT1G03560,AT1G03560 (AT1G03560)
AT1G03580,AT1G03580,AT1G03580
AT1G03590,AT1G03590,AT1G03590 (AT1G03590)
AT1G03600,PSB27,PSB27 (AT1G03600)
AT1G03610,AT1G03610,AT1G03610 (AT1G03610)
AT1G03620,AT1G03620,AT1G03620 (AT1G03620)
AT1G03630,POR C,POR C (AT1G03630)
AT1G03650,AT1G03650,AT1G03650 (AT1G03650)
AT1G03660,AT1G03660,AT1G03660 (AT1G03660)
AT1G03680,THM1,THM1 (AT1G03680)
AT1G03687,AT1G03687,AT1G03687 (AT1G03687)
AT1G03710,AT1G03710,AT1G03710 (AT1G03710)
AT1G03730,AT1G03730,AT1G03730 (AT1G03730)
AT1G03740,AT1G03740,AT1G03740 (AT1G03740)
AT1G03750,SWI2,SWI2 (AT1G03750)
AT1G03760,AT1G03760,AT1G03760 (AT1G03760)
AT1G03770,RING1B,RING1B (AT1G03770)
AT1G03780,TPX2,TPX2 (AT1G03780)
AT1G03800,ERF10,ERF10 (AT1G03800)
AT1G03820,AT1G03820,AT1G03820 (AT1G03820)
AT1G03830,AT1G03830,AT1G03830 (AT1G03830)
AT1G03850,GRXS13,GRXS13 (AT1G03850)
AT1G03860,PHB2,PHB2 (AT1G03860)
AT1G03870,FLA9,FLA9 (AT1G03870)
AT1G03900,ABCI18,ABCI18 (AT1G03900)
AT1G03905,ABCI19,ABCI19 (AT1G03905)
AT1G03910,AT1G03910,AT1G03910 (AT1G03910)
AT1G03920,AT1G03920,AT1G03920 (AT1G03920)
AT1G03930,ADK1,ADK1 (AT1G03930)
AT1G03950,VPS2.3,VPS2.3 (AT1G03950)
AT1G03960,AT1G03960,AT1G03960 (AT1G03960)
AT1G03970,GBF4,GBF4 (AT1G03970)
AT1G04000,AT1G04000,AT1G04000 (AT1G04000)
AT1G04010,PSAT1,PSAT1 (AT1G04010)
AT1G04020,BARD1,BARD1 (AT1G04020)
AT1G04030,AT1G04030,AT1G04030 (AT1G04030)
AT1G04040,AT1G04040,AT1G04040 (AT1G04040)
AT1G04050,SUVR1,SUVR1 (AT1G04050)
AT1G04070,TOM22-I,TOM22-I (AT1G04070)
AT1G04080,PRP39,PRP39 (AT1G04080)
AT1G04090,AT1G04090,AT1G04090 (AT1G04090)
AT1G04100,IAA10,IAA10 (AT1G04100)
AT1G04110,SDD1,SDD1 (AT1G04110)
AT1G04120,ABCC5,ABCC5 (AT1G04120)
AT1G04130,TPR2,TPR2 (AT1G04130)
AT1G04140,AT1G04140,AT1G04140 (AT1G04140)
AT1G04160,XIB,XIB (AT1G04160)
AT1G04170,EIF2 GAMMA,EIF2 GAMMA (AT1G04170)
AT1G04180,YUC9,YUC9 (AT1G04180)
AT1G04190,TPR3,TPR3 (AT1G04190)
AT1G04200,AT1G04200,AT1G04200 (AT1G04200)
AT1G04210,AT1G04210,AT1G04210 (AT1G04210)
AT1G04220,KCS2,KCS2 (AT1G04220)
AT1G04230,AT1G04230,AT1G04230 (AT1G04230)
AT1G04240,SHY2,SHY2 (AT1G04240)
AT1G04250,AXR3,AXR3 (AT1G04250)
AT1G04260,MPI7,MPI7 (AT1G04260)
AT1G04270,RPS15,RPS15 (AT1G04270)
AT1G04280,AT1G04280,AT1G04280 (AT1G04280)
AT1G04290,AT1G04290,AT1G04290 (AT1G04290)
AT1G04295,AT1G04295,AT1G04295 (AT1G04295)
AT1G04300,AT1G04300,AT1G04300 (AT1G04300)
AT1G04310,ERS2,ERS2 (AT1G04310)
AT1G04330,AT1G04330,AT1G04330 (AT1G04330)
AT1G04340,AT1G04340,AT1G04340 (AT1G04340)
AT1G04350,AT1G04350,AT1G04350 (AT1G04350)
AT1G04360,AT1G04360,AT1G04360 (AT1G04360)
AT1G04390,AT1G04390,AT1G04390 (AT1G04390)
AT1G04400,CRY2,CRY2 (AT1G04400)
AT1G04410,c-NAD-MDH1,c-NAD-MDH1 (AT1G04410)
AT1G04420,AT1G04420,AT1G04420 (AT1G04420)
AT1G04425,AT1G04425,AT1G04425 (AT1G04425)
AT1G04430,AT1G04430,AT1G04430 (AT1G04430)
AT1G04440,CKL13,CKL13 (AT1G04440)
AT1G04480,AT1G04480,AT1G04480 (AT1G04480)
AT1G04490,AT1G04490,AT1G04490 (AT1G04490)
AT1G04510,MAC3A,MAC3A (AT1G04510)
AT1G04520,PDLP2,PDLP2 (AT1G04520)
AT1G04530,TPR4,TPR4 (AT1G04530)
AT1G04540,AT1G04540,AT1G04540 (AT1G04540)
AT1G04550,IAA12,IAA12 (AT1G04550)
AT1G04555,AT1G04555,AT1G04555 (AT1G04555)
AT1G04570,AT1G04570,AT1G04570 (AT1G04570)
AT1G04580,AO4,AO4 (AT1G04580)
AT1G04590,AT1G04590,AT1G04590 (AT1G04590)
AT1G04620,HCAR,HCAR (AT1G04620)
AT1G04630,MEE4,MEE4 (AT1G04630)
AT1G04635,EMB1687,EMB1687 (AT1G04635)
AT1G04640,LIP2,LIP2 (AT1G04640)
AT1G04650,AT1G04650,AT1G04650 (AT1G04650)
AT1G04680,AT1G04680,AT1G04680 (AT1G04680)
AT1G04690,KAB1,KAB1 (AT1G04690)
AT1G04700,AT1G04700,AT1G04700 (AT1G04700)
AT1G04710,PKT4,PKT4 (AT1G04710)
AT1G04730,CTF18,CTF18 (AT1G04730)
AT1G04750,VAMP721,VAMP721 (AT1G04750)
AT1G04760,VAMP726,VAMP726 (AT1G04760)
AT1G04770,AT1G04770,AT1G04770 (AT1G04770)
AT1G04778,AT1G04778,AT1G04778 (AT1G04778)
AT1G04780,AT1G04780,AT1G04780 (AT1G04780)
AT1G04790,AT1G04790,AT1G04790 (AT1G04790)
AT1G04800,AT1G04800,AT1G04800 (AT1G04800)
AT1G04810,AT1G04810,AT1G04810 (AT1G04810)
AT1G04820,TUA4,TUA4 (AT1G04820)
AT1G04830,AT1G04830,AT1G04830 (AT1G04830)
AT1G04840,AT1G04840,AT1G04840 (AT1G04840)
AT1G04850,AT1G04850,AT1G04850 (AT1G04850)
AT1G04860,UBP2,UBP2 (AT1G04860)
AT1G04870,PRMT10,PRMT10 (AT1G04870)
AT1G04900,AT1G04900,AT1G04900 (AT1G04900)
AT1G04910,AT1G04910,AT1G04910 (AT1G04910)
AT1G04920,SPS3F,SPS3F (AT1G04920)
AT1G04930,AT1G04930,AT1G04930 (AT1G04930)
AT1G04940,Tic20-I,Tic20-I (AT1G04940)
AT1G04945,AT1G04945,AT1G04945 (AT1G04945)
AT1G04950,TAFII59,TAFII59 (AT1G04950)
AT1G04960,AT1G04960,AT1G04960 (AT1G04960)
AT1G04970,AT1G04970,AT1G04970 (AT1G04970)
AT1G04980,PDIL2-2,PDIL2-2 (AT1G04980)
AT1G04985,AT1G04985,AT1G04985 (AT1G04985)
AT1G04990,AT1G04990,AT1G04990 (AT1G04990)
AT1G05000,PFA-DSP1,PFA-DSP1 (AT1G05000)
AT1G05010,EFE,EFE (AT1G05010)
AT1G05020,AT1G05020,AT1G05020 (AT1G05020)
AT1G05030,AT1G05030,AT1G05030 (AT1G05030)
AT1G05055,GTF2H2,GTF2H2 (AT1G05055)
AT1G05060,AT1G05060,AT1G05060 (AT1G05060)
AT1G05065,CLE20,CLE20 (AT1G05065)
AT1G05070,AT1G05070,AT1G05070 (AT1G05070)
AT1G05090,AT1G05090,AT1G05090 (AT1G05090)
AT1G05100,MAPKKK18,MAPKKK18 (AT1G05100)
AT1G05120,AT1G05120,AT1G05120 (AT1G05120)
AT1G05135,AT1G05135,AT1G05135
AT1G05140,AT1G05140,AT1G05140 (AT1G05140)
AT1G05150,AT1G05150,AT1G05150 (AT1G05150)
AT1G05160,CYP88A3,CYP88A3 (AT1G05160)
AT1G05170,AT1G05170,AT1G05170 (AT1G05170)
AT1G05180,AXR1,AXR1 (AT1G05180)
AT1G05190,emb2394,emb2394 (AT1G05190)
AT1G05200,GLR3.4,GLR3.4 (AT1G05200)
AT1G05205,AT1G05205,AT1G05205 (AT1G05205)
AT1G05210,AT1G05210,AT1G05210 (AT1G05210)
AT1G05230,HDG2,HDG2 (AT1G05230)
AT1G05260,RCI3,RCI3 (AT1G05260)
AT1G05270,AT1G05270,AT1G05270 (AT1G05270)
AT1G05300,ZIP5,ZIP5 (AT1G05300)
AT1G05310,AT1G05310,AT1G05310 (AT1G05310)
AT1G05320,AT1G05320,AT1G05320 (AT1G05320)
AT1G05330,AT1G05330,AT1G05330 (AT1G05330)
AT1G05340,AT1G05340,AT1G05340 (AT1G05340)
AT1G05350,AT1G05350,AT1G05350 (AT1G05350)
AT1G05360,KMS2,KMS2 (AT1G05360)
AT1G05370,AT1G05370,AT1G05370 (AT1G05370)
AT1G05380,AT1G05380,AT1G05380 (AT1G05380)
AT1G05385,LPA19,LPA19 (AT1G05385)
AT1G05400,AT1G05400,AT1G05400 (AT1G05400)
AT1G05410,AT1G05410,AT1G05410 (AT1G05410)
AT1G05420,OFP12,OFP12 (AT1G05420)
AT1G05430,AT1G05430,AT1G05430 (AT1G05430)
AT1G05460,SDE3,SDE3 (AT1G05460)
AT1G05470,CVP2,CVP2 (AT1G05470)
AT1G05500,NTMC2T2.1,NTMC2T2.1 (AT1G05500)
AT1G05520,AT1G05520,AT1G05520 (AT1G05520)
AT1G05540,AT1G05540,AT1G05540 (AT1G05540)
AT1G05550,AT1G05550,AT1G05550 (AT1G05550)
AT1G05560,UGT75B1,UGT75B1 (AT1G05560)
